"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","77663","","351713","","Cameron Rising","utah-utes","UTAH","07","QB","2024","137","0.0002","0","78","59","0","49.9","46.9","","64.9","","60.2","31","0-0"
"","","77677","","325181","","Casey Thompson","oklahoma-sooners","OKLAHOMA","16","QB","2024","1","0","1","0","0","0","60","","","60","","","0","0-0"
"","","77679","","304329","","Alan Bowman","oklahoma-state-cowboys","OKLA STATE","07","QB","2024","639","0.0009","19","380","240","0","71.8","70.6","88.7","57.4","","60.2","173","2-0"
"","","77743","","317206","","Cameron Carroll","florida-gators","FLORIDA","27","HB","2024","4","0","3","1","0","0","52.3","","60","53.9","","","0","0-0"
"","","78573","","325746","","Solomon Vanhorse","indiana-hoosiers","INDIANA","18","HB","2024","3","0","0","1","2","0","77.5","","74.6","","","60.1","1","0-0"
"","","78578","","327100","","Ty Son Lawton","indiana-hoosiers","INDIANA","17","HB","2024","339","0.0005","145","129","30","35","74.8","46.8","68.8","77","21.4","59.8","88","0-0"
"","","81675","","350022","","Reuben Unije","ucla-bruins","UCLA","71","T","2024","164","0.0002","0","0","48","116","44.8","","","","48.8","48.5","42","6-2"
"","","81790","","328097","","Dawson Jaramillo","north-carolina-state-wolfpack","NC STATE","69","C","2024","26","0","0","0","14","12","63.6","","","","79.6","60.4","6","0-0"
"","","81809","","310231","","Joe More","arkansas-razorbacks","ARKANSAS","78","C","2024","34","0","0","0","23","11","65","","","","83.8","61.2","5","0-0"
"","","81813","","316534","","Reggie Sutton","rutgers-scarlet-knights","RUTGERS","70","T","2024","40","0.0001","0","0","38","2","50.1","","","","68.6","48.8","10","0-0"
"","","81860","","362507","","Tank Jenkins","houston-cougars","HOUSTON","72","G","2024","602","0.0009","0","0","302","300","65.1","","","","84","60.7","106","2-0"
"","","82212","","310275","","Jermayne Lole","texas-longhorns","TEXAS","D99","DI","2024","1","0","0","0","1","0","60","","","","","54.4","1","0-0"
"","","83537","","306357","","Tyler Shough","louisville-cardinals","LOUISVILLE","09","QB","2024","768","0.0011","12","446","310","0","87.7","87.7","","56","","60.1","199","2-0"
"","","83580","","330253","","Jack Tuttle","michigan-wolverines","MICHIGAN","13","QB","2024","117","0.0002","3","63","51","0","29.1","33.9","","32.4","","60","29","0-0"
"","","83944","","327680","","Tyneil Hopper","michigan-state-spartans","MICH STATE","88","TE","2024","19","0","0","6","13","0","46","","53.3","","","44.3","5","0-0"
"","","84071","","301269","","Brant Kuithe","utah-utes","UTAH","80","TE","2024","363","0.0005","8","209","133","13","74.7","","79.8","66.6","68.9","41.6","73","1-0"
"","","86272","","325997","","Dillon Gabriel","oregon-ducks","OREGON","08","QB","2024","944","0.0014","41","517","386","0","87","86.8","51.6","61.8","","60.2","229","3-0"
"","","86353","","362119","","Byron Cardwell","california-golden-bears","CAL","21","HB","2024","62","0.0001","24","22","11","5","60.2","","46","64.8","28.5","55.7","17","0-0"
"","","86392","","367815","","Corey Kiner","cincinnati-bearcats","CINCINNATI","21","HB","2024","527","0.0008","204","193","42","88","84.4","","61.7","88.3","42.1","56.4","143","1-0"
"","","86461","","351948","","Jonah Monheim","usc-trojans","USC","79","C","2024","807","0.0012","0","0","293","514","70.9","","","","69.3","70.3","125","1-0"
"","","86525","","408040","","Camden Jordan","indiana-hoosiers","INDIANA","89","WR","2024","11","0","0","0","11","0","68.8","","","","","77.3","1","0-0"
"","","86652","","359728","","Joop Mitchell","ohio-state-buckeyes","OHIO STATE","83","WR","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","86877","","364258","","Ceyair Wright","nebraska-cornhuskers","NEBRASKA","D15","CB","2024","1","0","0","1","0","0","58","","57.7","","","","0","0-0"
"","","87406","","327436","","Bless Harris","tcu-horned-frogs","TCU","58","T","2024","703","0.001","0","0","269","434","64.4","","","","74.1","53.7","83","0-0"
"","","88924","","386456","","Josh Simmons","ohio-state-buckeyes","OHIO STATE","71","T","2024","306","0.0004","0","0","148","158","75.9","","","","82","68.7","55","0-0"
"","","90224","","407534","","Reymello Murphy","arizona-wildcats","ARIZONA","00","WR","2024","21","0","0","14","7","0","68.1","","67.3","","","60.3","2","0-0"
"","","90279","","373317","","Nilay Upadhyayula","pittsburgh-panthers","PITTSBURGH","S47","LS","2024","1","0","0","0","0","1","60","","","","63.8","","0","0-0"
"","","90626","","391447","","Beau Gardner","georgia-bulldogs","GEORGIA","S60","LS","2024","1","0","0","0","0","1","60","","","","63.8","","0","0-0"
"","","97061","","338016","","Josh Kelly","texas-tech-red-raiders","TEXAS TECH","03","WR","2024","768","0.0011","0","492","275","1","77.5","","78.8","","63.4","56.1","116","2-0"
"","","97110","","326578","","Velton Gardner","texas-longhorns","TEXAS","24","HB","2024","11","0","8","3","0","0","58.1","","35.8","64.8","","","4","0-0"
"","","97151","","348857","","Michael Hayes","west-virginia-mountaineers","W VIRGINIA","S22","K","2024","2","0","0","0","2","0","60","","","","","60.3","1","0-0"
"","","97171","","350216","","Alante Brown","michigan-state-spartans","MICH STATE","00","WR","2024","37","0.0001","3","24","10","0","57.5","","59.9","59.9","","40","6","0-0"
"","","97189","","324946","","Jamious Griffin","oregon-state-beavers","OREGON ST","08","HB","2024","137","0.0002","74","43","8","12","78.8","","60","78.7","64.5","58.3","52","0-0"
"","","97200","","326126","","Ulysses Bentley IV","mississippi-rebels","OLE MISS","24","HB","2024","232","0.0003","85","101","15","31","77.9","","70.7","79","58.1","54.7","51","0-0"
"","","97211","","339456","","Christian Dremel","rutgers-scarlet-knights","RUTGERS","80","WR","2024","252","0.0004","0","135","116","1","70","","67.2","","63.9","82","28","0-0"
"","","97213","","340214","","Taylor Morin","wake-forest-demon-deacons","WAKE","02","WR","2024","616","0.0009","1","396","219","0","73.4","60","74.5","57.6","","54.5","76","0-0"
