"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","DEF","DEF%","RUND","PRSH","COV","DEF GRD","RUND GRD","PRSH GRD","COV","KEY","PEN","BP","TKL","AST","MT","STOP"
"","","81284","","313162","","Jared Small","arizona-wildcats","ARIZONA","D40","LB","2024","22","0","19","0","3","53.5","75.8","","39.5","4","0-0","0","2","0","0","1"
"","","81437","","351682","","Moroni Anae","utah-utes","UTAH","D24","ED","2024","8","0","6","1","1","63.5","57.5","63.8","60","5","0-0","0","0","0","0","0"
"","","82212","","310275","","Jermayne Lole","texas-longhorns","TEXAS","D99","DI","2024","471","0.0007","252","218","1","74.9","75.7","66","60.2","134","0-0","0","21","13","4","15"
"","","82281","","316834","","Ezekiel Holmes","illinois-fighting-illini","ILLINOIS","D33","DI","2024","225","0.0003","94","131","0","69.1","66.3","58.5","64.2","44","0-0","1","5","1","1","4"
"","","82557","","318025","","Jacob Mangum-Farrar","indiana-hoosiers","INDIANA","D07","ED","2024","114","0.0002","46","52","16","64.1","63.7","61.8","61.1","24","0-0","0","3","2","2","3"
"","","82562","","386604","","Solomon Tuliaupupu","usc-trojans","USC","D58","ED","2024","155","0.0002","67","69","19","61.7","68.3","53.8","58.1","33","0-0","0","9","5","2","5"
"","","82646","","305256","","Ale Kaho","ucla-bruins","UCLA","D10","LB","2024","231","0.0003","99","28","104","60.3","63","71.3","54","46","1-0","1","20","8","8","9"
"","","83074","","305779","","Jaden Robinson","oregon-state-beavers","OREGON ST","D04","CB","2024","463","0.0007","232","5","226","59","61.6","69.2","58.3","60","2-1","0","32","7","7","8"
"","","83821","","310587","","Fa'Najae Gotay","auburn-tigers","AUBURN","D38","LB","2024","42","0.0001","17","3","22","56.9","81.8","56.9","41.3","9","0-0","0","2","2","0","2"
"","","83825","","304826","","Bryan Addison","ucla-bruins","UCLA","D04","S","2024","745","0.0011","277","11","457","71.1","73.3","54.4","72.2","53","3-1","0","43","10","6","6"
"","","85725","","412246","","Jayden Dunlap","byu-cougars","BYU","D29","CB","2024","20","0","4","0","16","61.4","60","","61","1","0-0","0","1","0","0","0"
"","","85774","","386692","","Gracen Halton","oklahoma-sooners","OKLAHOMA","D56","DI","2024","403","0.0006","172","231","0","75.3","71.3","76.5","60","110","2-0","0","18","5","3","16"
"","","86082","","324904","","Jacob Bandes","washington-huskies","WASHINGTON","D55","DI","2024","450","0.0007","240","210","0","61.9","62.8","62.9","68.1","118","4-0","0","23","8","4","13"
"","","86267","","386091","","Kalib Perry","tennessee-volunteers","TENNESSEE","D08","LB","2024","234","0.0003","119","22","93","65.5","65.8","59.8","64","42","0-0","0","18","8","1","6"
"","","86353","","362119","","Byron Cardwell","california-golden-bears","CAL","21","HB","2024","1","0","0","1","0","60","","60","","0","0-0","0","0","0","0","0"
"","","86729","","377409","","Ozzie Nicholas","duke-blue-devils","DUKE","D45","LB","2024","703","0.001","335","40","328","75.6","84.1","63","64.2","204","5-0","0","75","29","10","49"
"","","86773","","396193","","Jackson Schulz","kentucky-wildcats","KENTUCKY","D29","S","2024","5","0","2","0","3","94.6","60","","93.5","1","0-0","0","0","0","0","0"
"","","86877","","364258","","Ceyair Wright","nebraska-cornhuskers","NEBRASKA","D15","CB","2024","535","0.0008","214","6","315","72.2","74.1","86.5","68.9","60","2-0","0","35","3","8","8"
"","","88001","","407621","","Trevor Adams","cincinnati-bearcats","CINCINNATI","D37","LB","2024","9","0","7","0","2","62.7","39.4","","71.5","3","0-0","0","1","0","0","0"
"","","90079","","304658","","David Reese","california-golden-bears","CAL","D07","ED","2024","426","0.0006","146","243","37","69","67.6","71.1","53.4","72","1-0","2","13","1","7","14"
"","","90131","","336628","","Joseph Vaughn","ucla-bruins","UCLA","D30","LB","2024","7","0","3","0","4","33","67.2","","32.1","4","0-0","0","2","0","0","1"
"","","90783","","407575","","Tyrice Ivy Jr.","oregon-state-beavers","OREGON ST","D12","S","2024","297","0.0004","164","2","131","58.7","67.4","56.2","53.3","27","1-0","0","25","13","9","5"
"","","97141","","339383","","Antavious Lane","north-carolina-tar-heels","N CAROLINA","D01","S","2024","758","0.0011","348","17","393","57.4","61.9","71.7","52.9","108","1-0","0","77","16","20","26"
"","","97143","","350728","","Bralyn Lux","texas-tech-red-raiders","TEXAS TECH","D00","CB","2024","547","0.0008","212","2","333","58.5","51.8","65.6","60.9","76","5-0","0","38","3","8","11"
"","","97211","","339456","","Christian Dremel","rutgers-scarlet-knights","RUTGERS","80","WR","2024","2","0","1","0","1","64.3","60","","62.8","0","0-0","0","1","0","0","0"
"","","97213","","340214","","Taylor Morin","wake-forest-demon-deacons","WAKE","02","WR","2024","1","0","1","0","0","60","60","","","0","0-0","0","0","0","0","0"
"","","97220","","340205","","Anthony Wilson","west-virginia-mountaineers","W VIRGINIA","D12","S","2024","810","0.0012","363","2","445","63.7","72.3","58.4","58.9","76","2-1","0","65","30","10","14"
"","","97225","","325607","","Brandon Crossley","smu-mustangs","SMU","D01","CB","2024","832","0.0012","328","4","500","62.2","66.8","65.6","60.3","77","4-0","0","34","5","12","10"
"","","97230","","353565","","Marcus Harris","california-golden-bears","CAL","D05","CB","2024","802","0.0012","311","1","490","74.2","76.7","60","73.9","75","3-0","0","51","2","4","17"
"","","97237","","340190","","Rod Heard II","notre-dame-fighting-irish","NOTRE DAME","D02","S","2024","409","0.0006","147","6","256","74.1","82.7","82.9","68","46","2-1","0","28","7","4","7"
"","","97257","","362556","","Will Goldberg","duke-blue-devils","DUKE","D35","S","2024","1","0","1","0","0","60.1","60","","","0","0-0","0","0","0","0","0"
"","","97287","","342227","","Trevor Wilson","kansas-jayhawks","KANSAS","07","WR","2024","1","0","0","0","1","62.4","","","60","0","0-0","0","0","0","0","0"
"","","97324","","324802","","Jordan Clark","notre-dame-fighting-irish","NOTRE DAME","D01","CB","2024","651","0.001","242","12","397","81.3","77","57.1","83.2","62","3-1","0","34","7","8","13"
"","","97329","","340200","","Derrick Canteen","cincinnati-bearcats","CINCINNATI","D10","S","2024","535","0.0008","243","0","292","77.6","65.7","","81","59","1-0","0","37","14","7","13"
"","","97351","","337955","","Jakeen Harris","north-carolina-tar-heels","N CAROLINA","D02","S","2024","665","0.001","309","7","349","62.7","66.1","53.8","60","54","0-0","0","47","21","12","7"
"","","97353","","337062","","Coco Azema","northwestern-wildcats","NWESTERN","D00","S","2024","556","0.0008","235","5","316","54.9","53.6","67.8","54.7","51","2-0","0","26","13","18","7"
"","","97379","","330669","","Woodi Washington","oklahoma-sooners","OKLAHOMA","D05","CB","2024","356","0.0005","153","8","195","53","77.6","60.7","44.7","36","3-0","0","22","3","6","8"
"","","97473","","325737","","Kerry Martin Jr.","north-carolina-state-wolfpack","NC STATE","D19","S","2024","107","0.0002","44","3","60","65.9","68.5","58.3","64.1","9","0-0","0","5","2","1","2"
"","","97539","","325375","","Quincy Riley","louisville-cardinals","LOUISVILLE","D03","CB","2024","554","0.0008","212","6","336","62.4","40.2","66.1","65.1","78","2-0","1","29","4","11","7"
"","","97546","","339967","","Dorian Jones","virginia-cavaliers","VIRGINIA","D11","LB","2024","192","0.0003","81","10","101","63.5","74.2","68.4","52.1","38","0-0","0","15","2","6","9"
"","","97560","","340207","","Thomas Gore","georgia-tech-yellow-jackets","GA TECH","D59","DI","2024","349","0.0005","150","198","1","74.5","77.3","63.4","64.4","74","0-0","0","13","7","1","10"
"","","97566","","348843","","Jeff Clark","arizona-state-sun-devils","ARIZONA ST","D05","DI","2024","473","0.0007","192","278","3","57.5","56.2","63.1","55.2","112","2-0","0","12","7","6","10"
"","","97675","","339436","","Terry Jones","indiana-hoosiers","INDIANA","D12","CB","2024","331","0.0005","94","45","192","71.2","87.1","55.4","67.4","49","1-0","0","24","9","7","13"
"","","97684","","325722","","Trey Rucker","oklahoma-state-cowboys","OKLA STATE","D09","S","2024","585","0.0009","258","20","307","59.5","66.8","66","54.1","89","2-0","0","73","20","14","30"
"","","97686","","327835","","Mehki Miller","cincinnati-bearcats","CINCINNATI","D20","S","2024","96","0.0001","36","0","60","59.1","77.8","","51.7","10","0-0","0","10","2","2","3"
"","","97703","","325245","","M.J. Griffin","louisville-cardinals","LOUISVILLE","D26","S","2024","715","0.0011","286","2","427","68.9","78.9","68.2","62.7","49","0-0","0","51","17","7","9"
"","","97715","","377248","","Dylan Downing","kansas-jayhawks","KANSAS","D32","LB","2024","8","0","5","0","3","83.3","83.6","","62.8","3","0-0","0","3","0","0","3"
"","","97725","","330780","","Wesley Walker","michigan-wolverines","MICHIGAN","D13","S","2024","340","0.0005","142","8","190","62.3","72.4","52.6","57.8","36","0-0","0","24","9","3","6"
"","","97750","","339678","","Marley Cook","miami-fl-hurricanes","MIAMI FL","D57","DI","2024","155","0.0002","67","88","0","76.8","81.8","63.3","","33","0-0","0","9","0","2","7"
"","","97761","","339680","","Zaylin Wood","vanderbilt-commodores","VANDERBILT","D15","DI","2024","69","0.0001","28","41","0","67.2","70.6","58.9","60","11","0-0","0","3","3","0","4"
"","","97792","","338888","","Torry Locklin","kansas-jayhawks","KANSAS","12","WR","2024","1","0","0","1","0","60","","60","","0","0-0","0","0","0","0","0"
"","","97881","","330658","","Jamal Morris","houston-cougars","HOUSTON","D25","LB","2024","538","0.0008","265","42","231","58.1","64.8","52.4","53.5","131","1-0","0","55","21","8","34"
"","","97889","","327776","","Jack Kiser","notre-dame-fighting-irish","NOTRE DAME","D24","LB","2024","641","0.0009","312","77","252","82.8","86.8","76.3","62.7","144","2-0","0","75","29","5","35"
"","","97890","","349703","","David Spaulding","south-carolina-gamecocks","S CAROLINA","D29","CB","2024","67","0.0001","24","0","43","61.9","68.7","","59.9","6","1-0","0","1","3","0","0"
"","","97930","","342299","","Justin Cody","wake-forest-demon-deacons","WAKE","D11","DI","2024","333","0.0005","133","200","0","55.5","53.7","56","60","63","0-0","0","5","3","1","5"
"","","97960","","325367","","Richard Kinley","louisville-cardinals","LOUISVILLE","D91","ED","2024","124","0.0002","48","75","1","62.5","58.4","59","74","27","0-0","0","6","3","2","5"
"","","97962","","348071","","Kevin Pointer","wake-forest-demon-deacons","WAKE","D91","DI","2024","515","0.0008","214","301","0","73.9","76.4","61.6","67.7","98","0-0","1","20","9","4","21"
"","","98070","","348784","","Tyler Brown","colorado-buffaloes","COLORADO","56","G","2024","3","0","3","0","0","29.9","42.3","","","3","0-0","0","0","0","0","0"
"","","98118","","324676","","Jahfari Harvey","smu-mustangs","SMU","D06","ED","2024","584","0.0009","244","310","30","72.1","68","72.8","59.8","128","1-1","0","14","9","3","21"
"","","98123","","347903","","Dan Foster Jr.","louisville-cardinals","LOUISVILLE","D15","LB","2024","131","0.0002","57","10","64","75.7","77.8","71.6","67","28","0-0","0","8","12","1","7"
"","","98138","","327763","","Ramon Puryear","louisville-cardinals","LOUISVILLE","D41","ED","2024","568","0.0008","222","335","11","70.8","69.8","64.6","75.8","111","0-0","0","18","11","3","18"
"","","98144","","325225","","Keivie Rose","arkansas-razorbacks","ARKANSAS","D93","DI","2024","407","0.0006","188","219","0","65.5","67.8","58.6","61.1","81","0-0","1","13","5","5","7"
"","","98154","","325914","","Ricky Barber","ucf-knights","UCF","D05","DI","2024","551","0.0008","231","318","2","71.2","73.1","65.9","58.3","151","1-0","0","21","10","2","17"
"","","98162","","347894","","Elijah Alston","miami-fl-hurricanes","MIAMI FL","D11","ED","2024","272","0.0004","91","147","34","81","75.9","73.8","77.3","63","0-0","1","13","2","3","11"
"","","98178","","350598","","Jaylen Pate","northwestern-wildcats","NWESTERN","D41","ED","2024","392","0.0006","178","209","5","71.5","65.6","71.5","62.5","97","0-0","1","16","8","4","12"
"","","98193","","340610","","Quindarius Dunnigan","michigan-state-spartans","MICH STATE","D99","ED","2024","245","0.0004","136","109","0","67.2","75","54.2","","56","1-0","0","14","7","5","13"
"","","98313","","327799","","Sylvain Yondjouen","georgia-tech-yellow-jackets","GA TECH","D32","ED","2024","347","0.0005","141","200","6","65.8","69.7","58.6","68.3","65","1-0","3","15","4","4","11"
"","","98317","","330231","","Joshua Harris","north-carolina-tar-heels","N CAROLINA","D06","DI","2024","368","0.0005","191","175","2","58.2","59.7","66.4","59.5","81","5-0","0","13","4","0","13"
"","","98331","","330326","","Jared Harrison-Hunte","smu-mustangs","SMU","D81","DI","2024","614","0.0009","238","375","1","80.8","74.1","79","70.3","168","2-1","0","23","11","6","24"
"","","98342","","325528","","R.J. Oben","notre-dame-fighting-irish","NOTRE DAME","D09","ED","2024","401","0.0006","199","195","7","75","73.9","77","50.7","75","2-1","0","15","5","4","13"
"","","98345","","326614","","Da'Jon Terry","oklahoma-sooners","OKLAHOMA","D95","DI","2024","317","0.0005","172","144","1","75","82.5","57.2","56.1","71","0-0","0","17","7","2","14"
"","","98442","","324986","","Shitta Sillah","purdue-boilermakers","PURDUE","D17","ED","2024","358","0.0005","215","96","47","62.6","64.5","59.6","59","69","1-0","0","18","8","5","10"
"","","98443","","337553","","Seth Coleman","illinois-fighting-illini","ILLINOIS","D09","ED","2024","574","0.0008","251","228","95","68.4","64.2","71.7","62.1","124","1-0","2","37","12","8","25"
"","","98506","","348087","","Christian Rorie","duke-blue-devils","DUKE","D96","DI","2024","43","0.0001","21","22","0","65.3","66.1","60","","9","0-0","0","2","0","1","1"
"","","98572","","340647","","Christian James","vanderbilt-commodores","VANDERBILT","D91","DI","2024","201","0.0003","106","95","0","74.1","79.3","58.9","60","41","0-0","1","14","5","3","11"
"","","98574","","349325","","Nate Clifton","usc-trojans","USC","D99","DI","2024","394","0.0006","173","218","3","66.9","66.9","63.2","64.4","95","1-0","1","19","8","1","17"
"","","98591","","338872","","Fentrell Cypress II","florida-state-seminoles","FLORIDA ST","D23","CB","2024","452","0.0007","224","3","225","70.1","69.9","55.5","69.3","35","0-0","0","27","2","1","4"
"","","98640","","325922","","Nick Jackson","iowa-hawkeyes","IOWA","D10","LB","2024","689","0.001","324","59","306","66.3","61.2","80.9","61.8","144","0-0","2","61","21","9","25"
"","","98645","","324683","","Jaydon Hill","texas-am-aggies","TEXAS A&M","D08","CB","2024","452","0.0007","173","12","267","54.2","53.9","74.9","52.7","60","2-0","0","19","9","6","7"
"","","98782","","328116","","Jesiah Pierre","ucf-knights","UCF","D14","LB","2024","190","0.0003","92","19","79","57.8","64.7","54.4","52","50","0-0","0","16","10","2","10"
"","","98783","","324684","","Khris Bogle","michigan-state-spartans","MICH STATE","D02","ED","2024","455","0.0007","187","231","37","63.2","66.1","61.7","63.5","89","3-1","0","21","6","3","14"
"","","98809","","365238","","Justin Pelic","florida-gators","FLORIDA","D47","LB","2024","6","0","2","0","4","64.8","60.3","","61.6","0","0-0","0","0","0","0","0"
"","","98826","","328121","","Ja'Markis Weston","florida-gators","FLORIDA","D09","ED","2024","13","0","10","2","1","83.9","71","87.3","60","6","0-0","0","2","0","0","2"
"","","98835","","325963","","Ray'Darious Jones","mississippi-state-bulldogs","MISS STATE","D13","CB","2024","20","0","10","0","10","67.9","64.6","","66.3","0","0-0","0","2","0","0","0"
