"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","98213","","327991","","Alex Brown","wyoming-cowboys","WYOMING","09","WR","2024","193","0.0016","0","93","100","0","49.6","","48.8","","","56.9","10","0-0"
"","","98322","","351180","","Tavion Woodard","boise-state-broncos","BOISE ST","D52","ED","2024","1","0","0","1","0","0","56.3","","55.3","","","","0","0-0"
"","","98557","","351748","","Devin Boddie Jr.","wyoming-cowboys","WYOMING","02","WR","2024","88","0.0007","1","51","36","0","61.9","","62.6","59.6","","67.7","10","1-1"
"","","98679","","326204","","Nick Nash","san-jose-state-spartans","S JOSE ST","03","WR","2024","791","0.0067","1","549","241","0","85.3","86.4","86.9","42.4","","58.6","136","2-0"
"","","99502","","336566","","Deshawn McCuin","san-diego-state-aztecs","S DIEGO ST","D17","CB","2024","3","0","0","1","1","1","57.6","","58.8","","60.5","60","0","0-0"
"","","100218","","324877","","Ja'Shaun Poke","san-diego-state-aztecs","S DIEGO ST","03","WR","2024","461","0.0039","4","258","198","1","69.9","","70.4","59.3","63.8","64.9","66","2-0"
"","","100635","","351860","","Kyrese White","utah-state-aggies","UTAH ST","23","WR","2024","523","0.0044","2","304","217","0","66.4","","66.5","60.8","","60.1","56","0-0"
"","","100651","","351392","","Donovan Ollie","colorado-state-rams","COLO STATE","06","WR","2024","107","0.0009","0","47","60","0","55.7","","57","","","49.5","8","0-0"
"","","101165","","338848","","Michael Callahan","boise-state-broncos","BOISE ST","D92","DI","2024","9","0.0001","0","0","8","1","42.5","","","","65.9","44.9","2","0-0"
"","","101173","","350684","","Wyatt Draeger","san-diego-state-aztecs","S DIEGO ST","D45","DI","2024","2","0","0","0","2","0","59.5","","","","","57.4","0","0-0"
"","","101219","","330565","","Tyler Crowe","boise-state-broncos","BOISE ST","33","FB","2024","81","0.0007","30","24","20","7","74.9","","63.6","75.1","45.4","65.5","29","0-0"
"","","101236","","383940","","Walker Hardan","unlv-rebels","UNLV","S59","LS","2024","1","0","0","0","0","1","60","","","","63.8","","0","0-0"
"","","101247","","350854","","Ben Dooley","boise-state-broncos","BOISE ST","66","G","2024","915","0.0078","0","0","462","453","73.9","","","","72.8","72.3","219","2-1"
"","","101266","","359459","","Osmar Velez","fresno-state-bulldogs","FRESNO ST","78","G","2024","778","0.0066","0","0","322","456","72.4","","","","84.9","66.9","155","1-0"
"","","102348","","326724","","Hajj-Malik Williams","unlv-rebels","UNLV","06","QB","2024","742","0.0063","91","355","296","0","77","67.3","29.7","78.3","","60","243","1-0"
